LEAID	CENSUSID	FIPST	FIPSCO	CMSA	NAME	STNAME	STABBR	SCHLEV	YEAR	CCDNF	TOTALREV	TFEDREV	TSTREV	TLOCREV	TOTALEXP	Z32 - TOTAL SALARIES	Z33
	5100700730200	6	13		CONTRA COSTA CO ROP	California	CA	5	95	0	1786000	96000	1569000	121000	1951000	607000	0
	5500120300000	6	1		MISSION VALLEY ROC/P	California	CA	7	95	0	4776000	653000	0	4123000	4806000	2386000	1422000
	5.50012E+12	6	1		TRI-VALLEY ROP	California	CA	7	95	0	2518000	88000	0	2430000	2400000	1353000	998000
	5.50092E+12	6	17		CENTRAL SIERRA ROP	California	CA	7	95	0	1433000	40000	0	1393000	1719000	515000	430000
	5.50192E+12	6	37		SAN ANTONIO ROP	California	CA	7	95	0	154000	0	0	154000	146000	90000	0
	5.50192E+12	6	37		ANTELOPE VALLEY ROP	California	CA	7	95	0	5600000	0	1963000	3637000	5980000	3425000	0
	6.50392E+12	8	77		GRAND VALLEY BOCES	Colorado	CO	7	95	0	288000	0	15000	273000	280000	35000	0
	1.15016E+13	13	31		FIRST DISTRICT RESA	Georgia	GA	7	95	0	5399000	24000	2200000	3175000	4729000	2558000	331000
	1.15019E+13	13	37		SOUTHWEST GEORGIA RESA	Georgia	GA	7	95	0	1498000	0	549000	949000	1370000	807000	0
	1.15029E+13	13	59		NORTHEAST GEORGIA RESA	Georgia	GA	7	95	0	5505000	28000	2247000	3230000	6033000	2971000	1187000
	1.15045E+13	13	91		HEART OF GEORGIA SCH SYS RESA	Georgia	GA	7	95	0	771000	0	517000	254000	1203000	662000	0
	1.15057E+13	13	115		NORTHWEST GEORGIA REAS	Georgia	GA	7	95	0	3155000	23000	2437000	695000	3830000	2168000	1064000
	11506040100000	13	121		METRO RESA	Georgia	GA	7	95	0	3232000	0	2862000	370000	3792000	2360000	1161000
	11506140100000	13	123		NORTH GEORGIA RESA	Georgia	GA	7	95	0	1726000	0	702000	1024000	3081000	982000	0
	1.15092E+13	13	185		COASTAL PLAINS RESA	Georgia	GA	7	95	0	807000	5000	583000	219000	1032000	638000	31000
	1.15094E+13	13	189		CENTRAL SAVANNAH RIVER AREA RESA	Georgia	GA	7	95	0	2299000	9000	1510000	780000	2395000	1362000	382000
	1.15111E+13	13	225		MIDDLE GEORGIA RESA	Georgia	GA	7	95	0	1628000	0	530000	1098000	1786000	1177000	356000
	1.15126E+13	13	255		GRIFFIN RESA	Georgia	GA	7	95	0	3994000	28000	1236000	2730000	4283000	1604000	226000
	1.15129E+13	13	261		CHATTAHOOCHEE FLINT RESA	Georgia	GA	7	95	0	1467000	0	1028000	439000	2322000	1298000	486000
	1.15138E+13	13	279		WEST GEORGIA RESA	Georgia	GA	7	95	0	3331000	25000	2163000	1143000	3619000	1113000	372000
	1.15148E+13	13	299		OKEFENOKEE RESA	Georgia	GA	7	95	0	2350000	18000	1376000	956000	2126000	1323000	379000
	1.1515E+13	13	303		OCONEE RESA	Georgia	GA	7	95	0	2095000	0	1322000	773000	1837000	1148000	367000
	1.15154E+13	13	311		PIONEER RESA	Georgia	GA	7	95	0	3863000	20000	2295000	1548000	5460000	2733000	1166000
	2.45017E+13	27	33		REDWOOD COUNTY TELE NETWORK	Minnesota	MN	7	95	0	59000	0	0	59000	63000	32000	0
