NAME	STNAME	STABBR	SCHLEV	YEAR	CCDNF	TOTALREV	TFEDREV	TSTREV	TLOCREV	TOTALEXP	Z32	Z33	V33
ALABAMA YOUTH SERVICES	Alabama	AL	N	14	1	-1	-1	-1	-1	-1	-1	-1	-1
ALBERTVILLE CITY	Alabama	AL	3	14	1	43875000	5380000	25102000	13393000	43121000	21802000	14399000	4713
MARSHALL COUNTY	Alabama	AL	3	14	1	55299000	7152000	34055000	14092000	54005000	29544000	18018000	5604
HOOVER CITY	Alabama	AL	3	14	1	162705000	5936000	68667000	88102000	168763000	89891000	61433000	13943
MADISON CITY	Alabama	AL	3	14	1	100874000	4509000	53164000	43201000	104829000	47922000	31834000	9554
AL INST DEAF AND BLIND	Alabama	AL	N	14	1	-2	-2	-2	-2	-2	-2	-2	-2
LEEDS CITY	Alabama	AL	3	14	1	18899000	1525000	9914000	7460000	17957000	9057000	6098000	1913
BOAZ CITY	Alabama	AL	3	14	1	22093000	2186000	12816000	7091000	23671000	11549000	7077000	2213
TRUSSVILLE CITY	Alabama	AL	3	14	1	40690000	967000	21928000	17795000	56547000	22685000	14690000	4269
SAFETYNET ACADEMY	Alabama	AL	N	14	1	-2	-2	-2	-2	-2	-2	-2	-2
BRYCE ADOLESCENT SCHOOL	Alabama	AL	N	14	1	-2	-2	-2	-2	-2	-2	-2	-2
ALABAMA SCHOOL OF FINE ARTS	Alabama	AL	N	14	1	-1	-1	-1	-1	-1	-1	-1	-2
UCP OF GREATER BIRMINGHAM	Alabama	AL	N	14	1	-2	-2	-2	-2	-2	-2	-2	-2
BOYD SCHOOL	Alabama	AL	N	14	1	-2	-2	-2	-2	-2	-2	-2	-2
BREWERS PORCH CHILDRENS CENTER	Alabama	AL	N	14	1	-2	-2	-2	-2	-2	-2	-2	-2
THREE SPRINGS COURTLAND SCH	Alabama	AL	N	14	1	-2	-2	-2	-2	-2	-2	-2	-2
THREE SPRINGS MADISON SCH	Alabama	AL	N	14	1	-2	-2	-2	-2	-2	-2	-2	-2
THREE SPRINGS NEW BEGINNINGS	Alabama	AL	N	14	1	-2	-2	-2	-2	-2	-2	-2	-2
SEQUEL TSI TUSKEEGEE LLC	Alabama	AL	N	14	1	-2	-2	-2	-2	-2	-2	-2	-2
