NAME,STNAME,STABBR,SCHLEV,YEAR,CCDNF,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,Z32,Z33
CONTRA COSTA CO ROP,CALIFORNIA,CA,5,97,0,5628000,4177000,1364000,87000,5539000,605000,0
MISSION VALLEY ROC/P,CALIFORNIA,CA,7,97,0,5824000,894000,311000,4619000,5686000,2796000,1651000
TRI-VALLEY ROP,CALIFORNIA,CA,7,97,0,2668000,151000,45000,2472000,2680000,1559000,1100000
CALAVERAS COUNTY ROP,CALIFORNIA,CA,7,97,0,1275000,696000,44000,535000,1253000,465000,0
CENTRAL SIERRA ROP,CALIFORNIA,CA,7,97,0,1586000,0,76000,1510000,1515000,469000,461000
SAN ANTONIO ROP,CALIFORNIA,CA,7,97,0,221000,0,32000,189000,230000,94000,0
ANTELOPE VALLEY ROP,CALIFORNIA,CA,7,97,0,8890000,0,4307000,4583000,7871000,3470000,0
GRAND VALLEY BOCES,COLORADO,CO,7,97,0,1255000,107000,39000,1109000,4242000,331000,21000
PROJECT OCEANOLOGY,CONNECTICUT,CT,7,97,0,115000,0,115000,0,0,0,0
FIRST DISTRICT RESA,GEORGIA,GA,7,97,0,4959000,1925000,2366000,668000,4917000,2540000,361000
SOUTHWEST GEORGIA RESA,GEORGIA,GA,7,97,0,1503000,472000,830000,201000,1425000,758000,0
NORTHEAST GEORGIA RESA,GEORGIA,GA,7,97,0,6237000,700000,2644000,2893000,6137000,3248000,1167000
HEART OF GEORGIA SCH SYS RESA,GEORGIA,GA,7,97,0,2190000,996000,747000,447000,2073000,950000,0
NORTHWEST GEORGIA RESA,GEORGIA,GA,7,97,0,4055000,676000,3012000,367000,3970000,2533000,1146000
METRO RESA,GEORGIA,GA,7,97,0,4461000,648000,3479000,334000,4132000,2667000,1164000
NORTH GEORGIA RESA,GEORGIA,GA,7,97,0,2523000,1376000,877000,270000,2632000,732000,0
COASTAL PLAINS RESA,GEORGIA,GA,7,97,0,1244000,153000,742000,349000,1259000,735000,16000
CENTRAL SAVANNAH RIVER AREA RESA,GEORGIA,GA,7,97,0,2520000,185000,1794000,541000,2418000,1573000,515000
MIDDLE GEORGIA RESA,GEORGIA,GA,7,97,0,1911000,77000,599000,1235000,1893000,1293000,394000
GRIFFIN RESA,GEORGIA,GA,7,97,0,2778000,549000,929000,1300000,2835000,1681000,312000
CHATTAHOOCHEE FLINT RESA,GEORGIA,GA,7,97,0,2433000,864000,1032000,537000,2421000,1196000,368000
