LEAID,NAME,STNAME,STABBR,SCHLEV,YEAR,CCDNF,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,Z32,Z33
100005,ALBERTVILLE CITY SCH DIST,ALABAMA,AL,3,5,1,26506000,3678000,16196000,6632000,26331000,14122000,9502000
100006,MARSHALL CO SCH DIST,ALABAMA,AL,3,5,1,49316000,6129000,23010000,20177000,47010000,22833000,14096000
100007,HOOVER CITY SCH DIST,ALABAMA,AL,3,5,1,115272000,3445000,43471000,68356000,131878000,55726000,36692000
100008,MADISON CITY SCHOOL DISTRICT,ALABAMA,AL,3,5,1,54396000,2757000,30066000,21573000,53739000,28197000,19707000
100011,LEEDS CITY SCHOOL DISTRICT,ALABAMA,AL,3,5,1,9899000,924000,5855000,3120000,9915000,5804000,3843000
100012,BOAZ CITY SCHOOL DISTRICT,ALABAMA,AL,3,5,1,21461000,1832000,11400000,8229000,20226000,8914000,5898000
100013,TRUSSVILLE CITY,ALABAMA,AL,6,5,1,12458000,62000,39000,12357000,6616000,1972000,964000
100030,ALEXANDER CITY SCH DIST,ALABAMA,AL,3,5,1,25269000,2348000,15077000,7844000,24778000,14251000,10159000
100060,ANDALUSIA CTY SCH DIST,ALABAMA,AL,3,5,1,13364000,1516000,7287000,4561000,12216000,6642000,4623000
100090,ANNISTON CTY SCH DST,ALABAMA,AL,3,5,1,20279000,4640000,10905000,4734000,21170000,11195000,7353000
100100,ARAB CITY SCHOOL DISTRICT,ALABAMA,AL,3,5,1,18722000,1102000,12383000,5237000,17893000,10483000,7269000
100120,ATHENS CITY SCH DIST,ALABAMA,AL,3,5,1,26024000,2394000,11573000,12057000,25178000,13751000,9631000
100180,ATTALLA CITY SCH DIST,ALABAMA,AL,3,5,1,13173000,1688000,8832000,2653000,13158000,7523000,5094000
100210,AUBURN CITY SCHOOL DIST,ALABAMA,AL,3,5,1,78514000,3441000,20058000,55015000,45388000,24099000,15951000
100240,AUTAUGA CO SCH DIST,ALABAMA,AL,3,5,1,61748000,5573000,40508000,15667000,59863000,32549000,22811000
100270,BALDWIN CO SCH DIST,ALABAMA,AL,3,5,1,202189000,16834000,92918000,92437000,216035000,107999000,73816000
100300,BARBOUR CO SCH DIST,ALABAMA,AL,3,5,1,10820000,2252000,7002000,1566000,11635000,5738000,3631000
100330,BESSEMER CITY SCH DIST,ALABAMA,AL,3,5,1,35575000,6185000,18032000,11358000,31350000,17449000,10731000
100360,BIBB CO SCH DIST,ALABAMA,AL,3,5,1,26228000,3913000,18364000,3951000,24810000,14136000,9703000
100390,BIRMINGHAM CITY SCH DIST,ALABAMA,AL,3,5,1,315307000,43646000,143779000,127882000,315055000,156662000,92997000
100420,BLOUNT CO SCH DIST,ALABAMA,AL,3,5,1,52559000,5516000,36527000,10516000,51056000,27824000,19122000
100450,BREWTON CITY SCH DIST,ALABAMA,AL,3,5,1,12643000,816000,6042000,5785000,10668000,5467000,3967000
100480,BULLOCK CO SCH DIST,ALABAMA,AL,3,5,1,13765000,3009000,8618000,2138000,14074000,8002000,4980000
100510,BUTLER CO SCH DIST,ALABAMA,AL,3,5,1,26438000,5519000,16325000,4594000,25583000,14096000,9594000
100540,CALHOUN CO SCH DIST,ALABAMA,AL,3,5,1,66683000,6831000,43092000,16760000,65724000,34875000,22299000
100600,CHAMBERS CO SCH DIST,ALABAMA,AL,3,5,1,31942000,4307000,19609000,8026000,31804000,16415000,10905000
100630,CHEROKEE CO SCH DIST,ALABAMA,AL,3,5,1,31215000,3393000,19715000,8107000,31455000,17396000,11582000
100660,CHILTON CO SCH DIST,ALABAMA,AL,3,5,1,48187000,5595000,32176000,10416000,48758000,25873000,18408000
100690,CHOCTAW CO SCH DIST,ALABAMA,AL,3,5,1,18766000,3462000,9597000,5707000,20253000,8524000,5460000
100720,CLARKE CO SCH DIST,ALABAMA,AL,3,5,1,27194000,4465000,16108000,6621000,26191000,14351000,9258000
100750,CLAY CO SCH DIST,ALABAMA,AL,3,5,1,14830000,1676000,10072000,3082000,14640000,8219000,5566000
100780,CLEBURNE COUNTY SCHOOL DISTRICT,ALABAMA,AL,3,5,1,17878000,2263000,12534000,3081000,17121000,9921000,6797000
