NAME,STNAME,STABBR,SCHLEV,YEAR,CCDNF,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,Z32,Z33,V33
ALBERTVILLE CITY SCH DIST,Alabama,AL,3,7,1,33690000,3660000,20466000,9564000,32760000,17336000,11698000,3747
MARSHALL CO SCH DIST,Alabama,AL,3,7,1,51251000,6157000,32991000,12103000,48036000,26369000,16211000,5562
HOOVER CITY SCH DIST,Alabama,AL,3,7,1,151164000,3658000,57373000,90133000,163936000,72233000,46371000,12039
MADISON CITY SCHOOL DISTRICT,Alabama,AL,3,7,1,75560000,3040000,42749000,29771000,72819000,35897000,24774000,8056
LEEDS CITY SCHOOL DISTRICT,Alabama,AL,3,7,1,26180000,1232000,7307000,17641000,14736000,6730000,4321000,1395
BOAZ CITY SCHOOL DISTRICT,Alabama,AL,3,7,1,21713000,2168000,12520000,7025000,22270000,10450000,6578000,2179
TRUSSVILLE CITY SCHOOL DISTRICT,Alabama,AL,3,7,1,40914000,890000,21160000,18864000,81048000,19214000,12666000,4083
ALEXANDER CITY SCH DIST,Alabama,AL,3,7,1,31004000,2345000,19357000,9302000,31194000,16839000,12107000,3550
ANDALUSIA CTY SCH DIST,Alabama,AL,3,7,1,15366000,1632000,8982000,4752000,14450000,8010000,5533000,1669
ANNISTON CTY SCH DST,Alabama,AL,3,7,1,22464000,4253000,12893000,5318000,22927000,11813000,7614000,2465
ARAB CITY SCHOOL DISTRICT,Alabama,AL,3,7,1,21205000,1164000,14059000,5982000,20370000,11498000,8075000,2492
ATHENS CITY SCH DIST,Alabama,AL,3,7,1,32660000,2328000,14871000,15461000,33388000,16298000,11690000,2873
ATTALLA CITY SCH DIST,Alabama,AL,3,7,1,15342000,1643000,10792000,2907000,15286000,8581000,5692000,1721
AUBURN CITY SCHOOL DIST,Alabama,AL,3,7,1,60805000,3229000,27395000,30181000,71337000,30392000,20041000,5519
