NAME,STNAME,STABBR,SCHLEV,YEAR,CCDNF,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURELSC,Z32,Z33
ALABAMA YOUTH SERVICES,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
ALBERTVILLE CITY,Alabama,AL,3,10,1,38927000,6477000,19465000,12985000,57286000,35657000,20033000,13374000
MARSHALL COUNTY,Alabama,AL,3,10,1,57766000,11705000,33031000,13030000,57101000,53270000,30364000,18787000
HOOVER CITY,Alabama,AL,3,10,1,149924000,9191000,54590000,86143000,152411000,140962000,83174000,54814000
MADISON CITY,Alabama,AL,3,10,1,85030000,6893000,42605000,35532000,85734000,74149000,42472000,28907000
AL INST DEAF AND BLIND,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
LEEDS CITY,Alabama,AL,3,10,1,13842000,1936000,7086000,4820000,14740000,13323000,7535000,4868000
BOAZ CITY,Alabama,AL,3,10,1,23169000,4191000,12014000,6964000,22971000,20652000,11518000,7306000
TRUSSVILLE CITY,Alabama,AL,3,10,1,37936000,2436000,18734000,16766000,37738000,36242000,20929000,13766000
SAFETYNET ACADEMY,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
BRYCE ADOLESCENT SCHOOL,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
ALABAMA SCHOOL OF FINE ARTS,Alabama,AL,N,10,1,-1,-1,-1,-1,-1,-1,-1,-1
UCP OF GREATER BIRMINGHAM,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
BOYD SCHOOL,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
BREWERS PORCH CHILDRENS CENTER,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
THREE SPRINGS COURTLAND SCH,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
THREE SPRINGS MADISON SCH,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
THREE SPRINGS NEW BEGINNINGS,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
THREE SPRINGS NEW TUSKEGEE,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
THREE SPRINGS NEW TUSKEGEE,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
THREE SPRINGS NEW DIRECTION,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
ALEXANDER CITY,Alabama,AL,3,10,1,30840000,4397000,16648000,9795000,30438000,28424000,16509000,12037000
THE BRIDGE,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
GLENWOOD MENTAL HEALTH SERVICE,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
