Year,State Code,State Name,Students,Total Revenue,Federal Revenue,State Revenue,Local Revenue,Total Expenditures,Salaries,Teacher Revenue
1995,AK,Alaska,125421,8906.546751,980.9920189,5661.157222,2264.397509,9598.209231,5108.538443,2919.92569
1995,AL,Alabama,727480,4628.906637,452.1870017,2971.031506,1205.688129,4609.559026,2878.899764,1994.993677
1995,AR,Arkansas,447757,4595.238042,441.2125327,2779.313333,1374.712176,4812.956581,2821.262426,1929.54884
1995,AZ,Arizona,735018,5190.655195,512.1466413,2270.937582,2407.570971,5518.611789,3032.582876,1988.774425
1995,CA,California,5302177,5469.135602,460.9206747,2906.259825,2101.955103,5577.97052,3209.543363,2135.884185
1995,CO,Colorado,639805,5797.996264,314.691195,2466.334274,3016.970796,5886.029337,3267.637796,2252.952071
1995,CT,Connecticut,489513,9027.919585,301.2504264,3314.898685,5411.770474,8686.570122,5388.27978,3923.117466
1995,DC,District of Columbia,80450,8702.436296,814.5059043,0,7887.930392,8803.281541,5307.880671,2978.172778
1995,DE,Delaware,106813,7509.525994,483.8549615,4780.036138,2245.634895,7233.84794,3972.971455,2785.044892
1995,FL,Florida,2107514,6283.569172,445.460386,3093.269606,2744.83918,6393.303674,3318.388395,2032.389346
1995,GA,Georgia,1270948,5515.335797,360.5749409,2855.016098,2299.744757,5699.185962,3233.640558,2215.144129
1995,HI,Hawaii,183869,6382.690938,448.9446291,5777.461127,156.2851813,6293.388227,3614.28517,2490.147877
1995,IA,Iowa,498837,6168.289441,282.7576944,2768.94657,3116.585177,6216.002422,3463.959169,2327.074776
1995,ID,Idaho,240448,4504.986525,336.2930862,2768.864786,1399.828653,4608.376863,2555.86239,1792.050672
1995,IL,Illinois,1897161,6449.86746,361.9924719,1953.133129,4134.741859,6231.043649,3525.474643,2437.305005
1995,IN,Indiana,966622,6739.898326,302.4574239,3451.191883,2986.24902,6597.750724,3555.3029,2436.008078
1995,KS,Kansas,460905,6133.461342,298.1612263,3499.946844,2335.353272,5981.063343,3603.864137,2434.814116
1995,KY,Kentucky,639992,5482.370092,488.6654833,3467.118339,1526.58627,5320.808698,3492.398342,2275.375317
1995,LA,Louisiana,797061,4757.220589,563.7711543,2508.43411,1685.015325,4686.721593,2855.216853,1922.185379
1995,MA,Massachusetts,893727,8198.145519,297.4935299,2344.482152,5556.169837,7503.503866,4073.482171,3007.250536
1995,MD,Maryland,790938,7055.070056,341.6816489,2603.515067,4109.87334,7092.940281,4043.502778,2694.327495
1995,ME,Maine,212154,6819.315214,368.7557152,3076.189937,3374.369562,6781.861289,4258.97697,2688.947651
1995,MI,Michigan,1604177,7790.847893,431.6849076,5019.058371,2340.104614,7776.428038,4283.706848,2676.940263
1995,MN,Minnesota,816695,7021.92128,286.6357698,3573.258071,3162.02744,7524.979337,3730.453841,2622.229841
