"Year","State Code","State Name","Students","Total Revenue","Federal Revenue","State Revenue","Local Revenue","Total Expenditures","Salaries","Teacher Revenue"
"2004","AK","ALASKA",133153,11093.6441537179,2151.26208196586,6081.80063535932,2860.58143639272,12371.1069221122,5931.13936599251,3863.9760275773
"2004","AL","ALABAMA",730418,7330.03294004255,856.464380669699,4068.17739979026,2405.3911595826,7458.56208362883,4020.06385384807,2707.46339767092
"2004","AR","ARKANSAS",454290,7464.97391534042,932.661956019283,3960.45477558388,2571.85718373726,7802.52261771115,4346.67503136763,2919.70107200247
"2004","AZ","ARIZONA",973980,7844.34690650732,917.451077024169,3712.58239388899,3214.31343559416,7365.88533645455,3962.09983777901,2607.17879217232
"2004","CA","CALIFORNIA",6284502,9532.71237720984,1050.03833239292,5046.18886269747,3436.48518211944,9928.48948094853,4952.79864657534,3254.66234237812
"2004","CO","COLORADO",756319,8630.55932747954,575.288998425268,3748.07984461583,4307.19048443844,9083.43569314006,4843.31082519413,3146.61802757831
"2004","CT","CONNECTICUT",554785,13161.1831610444,661.686959813261,4576.23043160864,7923.26562542246,12819.3228007246,7006.38806023955,4943.34742287553
"2004","DC","DISTRICT OF COLUMBIA",75146,16303.3561333937,2451.3214276209,0,13852.0529901791,16374.5970776888,7135.41638942858,4540.28589678759
"2004","DE","DELAWARE",117777,11742.1482972057,912.673951620435,7281.88865398168,3547.58569160362,12055.8173497372,5878.15108212979,4158.07840240454
"2004","FL","FLORIDA",2592997,8339.35519400909,838.533172232748,3699.87315835691,3800.94886341943,8444.36765642228,4201.15063765982,2630.03775168271
"2004","GA","GEORGIA",1522424,9285.33378349264,789.427255482047,4160.01389888756,4335.89262912303,9051.144753367,5184.54517269828,3590.19629222871
"2004","HI","HAWAII",183609,11645.0555256006,1287.89983061832,10079.7727780229,277.382916959408,9447.20030063886,5352.33566982011,3486.52299179234
"2004","IA","IOWA",481226,9135.28362972907,734.095830233612,4059.26737125592,4341.92042823954,9233.2687760013,5157.84891090673,3365.5995311974
"2004","ID","IDAHO",252037,6879.29946793526,704.372770664625,3999.03982351798,2175.88687375266,6923.40410336578,3811.30945059654,2640.3742307677
"2004","IL","ILLINOIS",2079027,10105.5084902697,834.951157440476,3275.29175907768,5995.26557375157,10393.998250143,5378.11485853719,3685.77560560782
"2004","IN","INDIANA",1008585,10357.1389620111,649.242255238775,5013.01823842314,4694.87846834922,10250.5639088426,4833.29416955438,3262.89702900598
"2004","KS","KANSAS",469622,9315.70071248792,722.781300705674,4787.75909135432,3805.16032042792,8473.07408937401,4658.38695802156,3059.28384956412
"2004","KY","KENTUCKY",663886,7735.15633708197,914.632933967579,4471.2360254622,2349.28737765219,7922.90995743245,4638.64277903134,3063.10722021552
"2004","LA","LOUISIANA",721414,7920.26769649605,1089.48121328391,3799.36901695836,3031.41746625377,7912.98061861844,4554.5234775039,3067.20551583418
"2004","MA","MASSACHUSETTS",962488,12446.8429736267,804.000673255147,4910.28147883402,6732.56082153752,12502.0104146753,6658.07158115218,4567.45330850878
"2004","MD","MARYLAND",869113,10497.4761624783,669.121276519854,3954.26486544327,5874.09002051517,10265.5673082787,5916.52869074562,4050.43302769605
"2004","ME","MAINE",201216,11016.4698632316,909.549936386768,4306.41698473282,5800.50294211196,11330.6098918575,5818.14070451654,4159.07283715013
"2004","MI","MICHIGAN",1740776,10732.1929989844,820.481785134905,6403.00992201179,3508.70129183766,11536.8881464358,5403.72741811698,3455.79959742092
"2004","MN","MINNESOTA",836501,10562.4296922538,625.27600086551,7337.1436495593,2600.010041829,10889.714417556,5563.94074842708,3887.37371503441
"2004","MO","MISSOURI",914055,8636.19475852109,678.604679149504,2925.51214095432,5032.07793841727,8638.90903720236,4864.90309664079,3270.28351685621
"2004","MS","MISSISSIPPI",492557,7068.50780721825,1048.65020698112,3872.59951640115,2147.25808383598,7052.84464539129,3904.1714969029,2634.70217660088
"2004","MT","MONTANA",148168,8576.68322444792,1294.74650396847,3783.43501970736,3498.5017007721,8378.44203876681,4599.17121105772,3157.1729388262
"2004","NC","NORTH CAROLINA",1347622,7958.26203490296,766.093162622753,4609.56188011178,2582.60699216843,7726.46780773837,4641.20502633528,3192.26682259565
"2004","ND","NORTH DAKOTA",101889,9082.36414136953,1322.60597316688,3304.79247023722,4454.96569796543,9397.28528104113,4842.8191463259,3387.06828018726
"2004","NE","NEBRASKA",284170,9623.54928387937,844.987155575888,3078.45303867403,5700.10908962945,9388.70042580146,4924.8337262906,3437.69574550445
"2004","NH","NEW HAMPSHIRE",203359,10791.5656548272,586.912799531862,4761.59402829479,5443.05882700053,10995.3825500715,5435.80564420557,3988.94074026721
"2004","NJ","NEW JERSEY",1374884,15672.5076442813,664.832087652486,6444.47386106755,8563.20169556123,15722.1285577547,7978.56546443191,5259.03785337527
"2004","NM","NEW MEXICO",323066,8839.96768462172,1523.22435663301,6158.38249769397,1158.36083029474,8922.73095899909,4582.44135873165,2966.22981062693
"2004","NV","NEVADA",385414,7964.24364449657,574.675543701059,2355.92635451748,5033.64174627803,8377.0153652955,3962.18611674719,2627.34877300773
"2004","NY","NEW YORK",2845632,14384.2756196163,1077.71841193802,6222.62471043339,7083.9324972449,15139.3050823156,8041.00073375616,6053.21348649439
"2004","OH","OHIO",1843358,10436.6498531484,714.339265622847,4584.48548789763,5137.82509962796,10697.8015122402,5548.84563931694,3532.6393462366
"2004","OK","OKLAHOMA",625826,7385.56723434309,948.65505747604,3771.47322099114,2665.43895587591,7030.81847030964,3635.91317714509,2412.34144954029
"2004","OR","OREGON",549196,9260.96147823364,839.230438677631,4840.32112397031,3581.40991558569,9821.39527600347,4322.75180445597,2887.18417468445
"2004","PA","PENNSYLVANIA",1795296,11912.2178181202,915.744256100387,4012.44697253266,6984.02658948719,12431.0888009554,5929.6294315812,4148.39335686149
"2004","RI","RHODE ISLAND",157654,11709.9788143656,846.251918758801,4724.96099052355,6138.76590508328,11123.4919507275,6527.52229566012,4680.69316350996
"2004","SC","SOUTH CAROLINA",696376,8560.74017484807,885.527358783186,3936.27436901904,3738.93844704585,8814.53553827243,4517.8624765931,3035.52391236918
"2004","SD","SOUTH DAKOTA",125156,8047.03729745278,1247.3792706702,2742.30560260795,4057.35242417463,8086.67582856595,4290.69321486785,2959.39467544504
"2004","TN","TENNESSEE",911624,6964.60492483743,759.472106921275,3009.82093494686,3195.31188296929,7391.86440901073,4235.51705527718,2981.94540731705
"2004","TX","TEXAS",4327481,8428.57265000124,887.883505438845,3130.36937654954,4410.31976801285,8906.8843976438,4883.13686414799,3301.97660024388
"2004","UT","UTAH",490516,6148.21127139584,616.271436609611,3399.97064315945,2131.96919162678,6283.48310758467,3109.20744685189,2148.40698366618
"2004","VA","VIRGINIA",1191035,9362.58968040402,642.59488596053,3561.17410487517,5158.82068956832,9574.91173643092,5604.05529644385,3723.25666332224
"2004","VT","VERMONT",93705,16282.8771143482,1009.07102075663,8549.9279654234,6723.87812816819,16543.0660050157,6875.14006723227,4825.27079664906
"2004","WA","WASHINGTON",1020990,8609.81106573032,733.992497477938,5305.00004897208,2570.81851928031,8824.74852838911,4826.23042341257,3193.8422511484
"2004","WI","WISCONSIN",874233,10504.737295435,629.956773537489,5412.7732538122,4462.00726808528,10439.2593278908,5171.42340771854,3683.42421299585
"2004","WV","WEST VIRGINIA",280561,9213.98198609215,1036.32365154102,5513.67082381372,2663.98751073742,9281.38978689126,4908.19108856897,3331.15436571726
"2004","WY","WYOMING",86925,11215.2775381076,1104.3428242738,5834.39746908254,4276.53724475122,10974.0120793788,5761.44952545298,3775.82973828013
