"State Code","State Name","Students","Total Revenue","Federal Revenue","State Revenue","Local Revenue","Total Expenditures","Salaries","Teacher Revenue"
"AK","Alaska",131265,16991.1095874757,2795.64240277302,10335.3750047614,3860.09217994134,18043.9340265874,7728.61768178875,4876.80646021407
"AL","Alabama",748889,9722.47956639769,1514.39131833957,5074.3541432709,3133.73410478722,10211.8885442302,5128.20057445095,3375.45617574834
"AR","Arkansas",480337,10419.1161621945,1601.84828568276,5386.64312763747,3430.62474887423,11369.2803177769,5384.04911551681,3530.77943194049
"AZ","Arizona",1073877,8981.84522063514,1659.75712302247,3484.29010026288,3837.79799734979,8914.911111794,4776.30957735383,3077.58616675839
"CA","California",6196772,10708.5729473345,1537.64895658578,5457.4380015918,3713.48598915694,11337.1763556897,5725.59890859305,3741.92628032789
"CO","Colorado",831823,10521.1865985913,816.049808673239,4613.90704512859,5091.22974478946,10666.617778061,5677.58044680178,3659.88197008258
"CT","Connecticut",543970,17491.4995312241,1471.85138886336,5836.52958802875,10183.118554332,17587.6298325275,8836.63437321911,6215.99536739158
"DC","District of Columbia",69433,24045.0506243429,2143.11638558034,0,21901.9342387625,25609.1771924013,12084.556334884,6634.29493180476
"DE","Delaware",126801,14419.6023690665,1499.65694276859,8293.04973935537,4626.89568694253,14591.0205755475,6779.57587085275,4793.78711524357
"FL","Florida",2627390,9983.72567452871,1598.58376563814,3127.27916297162,5257.86274591895,10377.9830934882,5130.43704969571,3254.35736605529
"GA","Georgia",1661603,10687.5150080976,1553.35058976181,4032.31698546524,5101.84743287055,10708.7836264138,6031.6682143689,4111.62293279442
"HI","Hawaii",180196,14233.7010810451,2122.13367666319,11616.795045395,494.772358986881,12294.7124242492,6496.55375258052,4508.58509622855
"IA","Iowa",491255,11364.464483822,1227.15901110421,4462.21208944438,5675.09338327345,11474.6170522437,5938.26424158533,4273.62571373319
"ID","Idaho",275594,8104.94422955507,1657.62317031575,4617.55698600115,1829.76407323817,7813.30870773674,4329.37944948003,2997.22054906856
"IL","Illinois",2098043,12801.0279102955,1570.69707341556,3767.2154479198,7463.11538896009,12997.984312047,6417.74501285245,4388.84045751207
"IN","Indiana",1044954,13398.4969673306,1383.43793123908,7131.12060435196,4883.93843173958,11004.3035387204,5415.51589830749,3637.2136955311
"KS","Kansas",471406,11503.3686461352,1423.08965095905,6030.18417245432,4050.09482272182,12602.0288244104,5947.4783944201,3970.66859564791
"KY","Kentucky",679901,10121.989819106,1558.9254906229,5386.43567225228,3176.62865623083,10431.0348124212,5731.74623952605,3765.19522695216
"LA","Louisiana",688386,12146.3568404936,2338.5571467171,5031.40389258352,4776.39580119294,12182.2422303766,6294.625399122,4182.94096626021
"MA","Massachusetts",929569,16050.194229799,1175.69755445803,6178.12018257924,8696.3764927617,15983.5611987921,8218.88531136473,5691.86364863716
"MD","Maryland",848252,15712.0407614718,1184.19762051843,6536.64830734263,7991.19483361077,15568.1224447452,8340.45660959243,5621.72444037857
"ME","Maine",187634,14287.2933476875,1650.56439664453,5737.27043073217,6899.45852031082,14119.4506326146,7258.42331347197,4856.30003091124
"MI","Michigan",1622560,10858.5691746376,1110.06372645696,6203.30342175328,3545.20202642737,11287.4001577754,5248.73163396115,3586.64887585051
"MN","Minnesota",833750,12396.4353823088,1458.87736131934,7442.11814092954,3495.43988005997,12542.9421289355,6444.25667166417,4563.48545727136
"MO","Missouri",914956,10712.7588649072,1615.2558155802,2850.00808782062,6247.49496150635,11304.1326577453,6110.25666808021,4099.31515832455
