NAME,STNAME,STABBR,SCHLEV,YEAR,CCDNF,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,Z32,Z33,V33
Alabama Youth Services,Alabama,AL,N,15,1,-1,-1,-1,-1,-1,-1,-1,-1
Albertville City,Alabama,AL,3,15,1,45519000,6299000,26717000,12503000,47513000,22798000,14900000,4965
Marshall County,Alabama,AL,3,15,1,55501000,7150000,35103000,13248000,58489000,29650000,17898000,5647
Hoover City,Alabama,AL,3,15,1,163058000,6249000,69931000,86878000,162449000,84171000,56693000,13949
Madison City,Alabama,AL,3,15,1,103675000,4823000,54347000,44505000,114965000,49609000,32902000,9789
Al Inst Deaf And Blind,Alabama,AL,N,15,1,-2,-2,-2,-2,-2,-2,-2,-1
Leeds City,Alabama,AL,3,15,1,20502000,1542000,10236000,8724000,19328000,9271000,6311000,1901
Boaz City,Alabama,AL,3,15,1,22055000,2307000,12949000,6799000,22697000,11551000,7172000,2263
Trussville City,Alabama,AL,3,15,1,48482000,944000,22417000,25121000,53052000,22960000,15015000,4292
SafetyNet Academy,Alabama,AL,N,15,1,-2,-2,-2,-2,-2,-2,-2,-1
Bryce Adolescent School,Alabama,AL,N,15,1,-2,-2,-2,-2,-2,-2,-2,-1
Alabama School of Fine Arts,Alabama,AL,N,15,1,-1,-1,-1,-1,-1,-1,-1,-1
UCP Of Greater Birmingham,Alabama,AL,N,15,1,-2,-2,-2,-2,-2,-2,-2,-1
Boyd School,Alabama,AL,N,15,1,-2,-2,-2,-2,-2,-2,-2,-1
Brewers Porch Childrens Center,Alabama,AL,N,15,1,-2,-2,-2,-2,-2,-2,-2,-1
Three Springs Courtland Sch,Alabama,AL,N,15,1,-2,-2,-2,-2,-2,-2,-2,-1
Three Springs Madison Sch,Alabama,AL,N,15,1,-2,-2,-2,-2,-2,-2,-2,-1
Three Springs New Beginnings,Alabama,AL,N,15,1,-2,-2,-2,-2,-2,-2,-2,-1
Three Springs New Tuskegee,Alabama,AL,N,15,1,-2,-2,-2,-2,-2,-2,-2,-1
Three Springs New Tuskegee,Alabama,AL,N,15,1,-2,-2,-2,-2,-2,-2,-2,-1
Three Springs New Direction,Alabama,AL,N,15,1,-2,-2,-2,-2,-2,-2,-2,-1
Alexander City,Alabama,AL,3,15,1,29818000,3227000,16675000,9916000,28002000,15391000,11118000,3102
The Bridge,Alabama,AL,N,15,1,-2,-2,-2,-2,-2,-2,-2,-1
Glenwood Mental Health Service,Alabama,AL,N,15,1,-2,-2,-2,-2,-2,-2,-2,-1
Learning Tree Inc,Alabama,AL,N,15,1,-2,-2,-2,-2,-2,-2,-2,-1
Lee Co Youth Development Ctr,Alabama,AL,N,15,1,-2,-2,-2,-2,-2,-2,-2,-1
Bay Point Center,Alabama,AL,N,15,1,-2,-2,-2,-2,-2,-2,-2,-1
Pathway Inc,Alabama,AL,N,15,1,-2,-2,-2,-2,-2,-2,-2,-1
Presbyterian Home For Children,Alabama,AL,N,15,1,-2,-2,-2,-2,-2,-2,-2,-1
Brantwood Children's Home,Alabama,AL,N,15,1,-2,-2,-2,-2,-2,-2,-2,-1
Developing Alabama Youth Prog,Alabama,AL,N,15,1,-2,-2,-2,-2,-2,-2,-2,-1
Laurel Oaks Behavioral Health,Alabama,AL,N,15,1,-2,-2,-2,-2,-2,-2,-2,-1
Mountainview Hospital,Alabama,AL,N,15,1,-2,-2,-2,-2,-2,-2,-2,-1
The Rushton School,Alabama,AL,N,15,1,-2,-2,-2,-2,-2,-2,-2,-1
Wilmer Hall,Alabama,AL,N,15,1,-2,-2,-2,-2,-2,-2,-2,-1
Three Springs Paint Rock Valley,Alabama,AL,N,15,1,-2,-2,-2,-2,-2,-2,-2,-1
Andalusia City,Alabama,AL,3,15,1,15797000,2137000,9404000,4256000,15849000,8052000,5681000,1729
Anniston City,Alabama,AL,3,15,1,23569000,4277000,12051000,7241000,24126000,12102000,8082000,2141
Arab City,Alabama,AL,3,15,1,23338000,1489000,15063000,6786000,25150000,13648000,9903000,2565
Athens City,Alabama,AL,3,15,1,38308000,3007000,17796000,17505000,38210000,19030000,12852000,3420
Compass Academy,Alabama,AL,N,15,1,-2,-2,-2,-2,-2,-2,-2,-1
Etowah Academy,Alabama,AL,N,15,1,-2,-2,-2,-2,-2,-2,-2,-1
Pointe Academy,Alabama,AL,N,15,1,-2,-2,-2,-2,-2,-2,-2,-1
