Year,offense_code,Offense,Age,Count,Age Category,Genre
2014,ASR_VAN,Vandalism,f_10_12,565,10 to 12 year old,Female
2014,ASR_WEAP,Weapons,f_16,353,16 year old,Female
2013,ASR_AST,Aggravated Assault,f_0_9,41,0 to 9 year old,Female
2013,ASR_BRG,Burglary,f_13_14,883,13 or 14 year old,Female
2013,ASR_DIS,Disorderly Conduct,f_17,4711,17 year old,Female
2013,ASR_DRK,Drunkenness,f_17,664,17 year old,Female
2013,ASR_FRD,Fraud,m_0_9,9,0 to 9 year old,Male
2013,ASR_HOM,Murder and Nonnegligent Homicide,m_15,81,15 year old,Male
2013,ASR_LIQ,Liquor Laws,m_16,8351,16 year old,Male
2013,ASR_MVT,Motor Vehicle Theft,m_15,1763,15 year old,Male
2013,ASR_OTH,All Other Offenses,f_13_14,19158,13 or 14 year old,Female
2013,ASR_VAG,Vagrancy,f_15,35,15 year old,Female
2012,ASR_ARSON,Arson,f_15,79,15 year old,Female
2012,ASR_ARSON,Arson,m_15,477,15 year old,Male
2012,ASR_AST,Aggravated Assault,m_17,5760,17 year old,Male
2012,ASR_AST_SMP,Simple Assault,m_10_12,9625,10 to 12 year old,Male
2012,ASR_AST_SMP,Simple Assault,f_13_14,15004,13 or 14 year old,Female
2012,ASR_AST_SMP,Simple Assault,f_0_9,294,0 to 9 year old,Female
2012,ASR_BRG,Burglary,f_17,1391,17 year old,Female
2012,ASR_EMB,Embezzlement,m_10_12,4,10 to 12 year old,Male
2012,ASR_GAM,Gambling,f_13_14,8,13 or 14 year old,Female
2012,ASR_GAM,Gambling,f_0_9,1,0 to 9 year old,Female
2012,ASR_OTH,All Other Offenses,m_10_12,5890,10 to 12 year old,Male
2012,ASR_OTH,All Other Offenses,f_17,13680,17 year old,Female
2012,ASR_SEX,Sex Offenses,f_13_14,342,13 or 14 year old,Female
2012,ASR_VAG,Vagrancy,m_10_12,28,10 to 12 year old,Male
2011,ASR_ARSON,Arson,f_0_9,14,0 to 9 year old,Female
2011,ASR_DRG,Drug Abuse Violations,m_16,26113,16 year old,Male
2011,ASR_DRK,Drunkenness,m_15,1017,15 year old,Male
2011,ASR_DUI,Drive Under the Influence,m_16,1313,16 year old,Male
2011,ASR_EMB,Embezzlement,f_17,81,17 year old,Female
2011,ASR_HOM,Murder and Nonnegligent Homicide,f_15,17,15 year old,Female
2011,ASR_LIQ,Liquor Laws,m_15,5767,15 year old,Male
2011,ASR_LRC,Larceny,m_15,22334,15 year old,Male
2011,ASR_MVT,Motor Vehicle Theft,m_17,2829,17 year old,Male
2011,ASR_PRS,Prostitution and Commercialized Vice,m_17,82,17 year old,Male
2011,ASR_RPE,Rape,f_13_14,17,13 or 14 year old,Female
2016,ASR_AST_SMP,Simple Assault,f_15,8036,15 year old,Female
2016,ASR_BRG,Burglary,f_16,689,16 year old,Female
2016,ASR_BRG,Burglary,m_17,5914,17 year old,Male
2016,ASR_FOR,Forgery and Counterfeiting,m_10_12,5,10 to 12 year old,Male
2016,ASR_MVT,Motor Vehicle Theft,m_16,3009,16 year old,Male
